mall_name,address,
金源新燕莎MALL,远大路1号,
北京SKP,建国路87号,
万达百货,新华西街58号,
万达百货,新华西街58号,
悠唐购物中心,三丰路三丰北里2号,
万达广场B座,新华西街58号院3,
百尚食工坊,兴华南街马驹桥百尚生活广场B1层,
翠微百货,立汤路186号龙德广场1-4层,
,,
那里花园,三里屯北街81号,
老佛爷百货,西单北大街110号,
食寶街,羊坊店路18号光耀东方广场,
,,
物美大卖场,新街口北大街1号新华百货B1层,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
麓南青年街,清水路金纳斯酒店西北,
,,
,,
,,
,,
,,
仁和新城,府城大道西段505号,
,,
伊藤洋华堂,光华大道三段1666号,
天虹百货,锦城大道666号奥克斯广场西区B1-4层,
新世界百货,顺城街8号,
,,
远东百货,北城天街6号北城天街购物广场4层,
,,
,,
,,
,,
,,
,,
KLand小时代梦想艺术乐园,袁家岗奥体路1号,
,,
,,
大和名店城,美景中路216号,
凯德广场云尚,,
保利时光里,建设大马路18号,
,,
,,
,,
,,
,,
天河城百货,天河路208号天河城2-7层,
,,
,,
友谊商店,环市东路369号,
,,
Hi百货,天河路228号正佳广场4层,
,,
,,
,,
,,
,,
,,
,,
,,
,,
新光百货,东晓南路1290号新光百货1楼C09室铺,
,,
广百百货,广州大道北1419号佳润广场1-3层,
,,
天河城百货,北京路一街238号,
天河城百货,北京路一街238号,
,,
,,
,,
,,
新光百货,康王中路666号新光城市广场内,
,,
,,
,,
,,
杭州大厦中央商城,环城北路与展览西路交口西南角,
,,
,,
,,
,,
,,
公园1903,海宏路与前卫西路交叉口北侧,
,,
,,
,,
,,
,,
中豪.螺蛳湾国际商贸城,新昆洛路宏仁片区、彩云北路5151号,
金格百货,白塔路131号,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
太平洋百货,人民大道9号宁海大厦,
,,
丽达购物中心,秦岭路18号,
和谐广场,向阳路116号,
,,
,,
,,
,,
,,
万达广场,广富林路658弄,
,,
,,
,,
新天地广场,淮海中路333号,
百联世纪购物中心,世纪大道1217号,
上海老佛爷百货,浦东南路899号,
,,
百盛,莘庄都市路5001号仲盛世界商城,
,,
,,
东方商厦,真光路1288号百联购物广场内,
,,
,,
乐荟天地,高科西路899号,
,,
,,
,,
,,
,,
,,
,,
,,
AEON永旺,深南中路1095号新城市广场B1楼,
,,
太阳广场·太阳百货,东门解放路2001号二楼,
,,
茂业百货,华强北路2009号,
芮欧百货,宝安南路1881号万象城B1F-3F楼,
AEON,新洲路中城天邑花园商铺1-2楼,
,,
,,
,,
,,
,,
,,
,,
,,
,,
信兴商业广场,深南东路5002号地王信兴广场1层,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
绿宝步行街,狮山街道长江路436号,
星悦汇,苏州中心步行街星州街北,
,,
,,
,,
,,
大悦城·旺街,南门外大街2号,
天津国贸购物中心,南京路39号五大道文化旅游区旁,
新世界百货,东马路138号,
,,
,,
,,
HAPPY站台美食购物广场,中山大道818号佳丽广场B1楼,
,,
万达百货,沙湖大道18号,
中百百货,和平大道1544号,
悦心汇,光谷一期风情街下沉广场负一楼,
,,
,,
,,
,,
,,
,,
泛海城市广场二期Joy Park悦街,云彩路196号,
,,
金鹰曲江购物中心,芙蓉南路芙蓉新天地1号楼,
,,
,,
万达百货,解放路111号,
,,
万达百货,中原路171号,
,,
,,
,,
富田太阳城,航海东路2号,
共享际,建国门外大街1号,
,,
华联商厦,广顺北大街33号望京凯德MALL,
万达广场B座,新华西街58号院3,
,,
三里屯太古里北区N8座,三里屯路19号三里屯太古里北区,
,,
食宝街,中关村大街15号,
young街样街,西单北大街131号young街9层,
嘉茂购物中心·西直门,西外大街1号凯德MALL2层207,
,,
,,
,,
华威约饭街,西单北大街130号华威大厦7层,
3.3大厦,三里屯路33号,
西单觅食森林,西单北大街111号觅食森林,
,,
华联商厦,成府路28号五道口商业中心,
,,
日购商城,慧忠北里309-6号第五大道精品休闲购物广场B1层,
7mall购物美学中心,五一大道635号,
春天百货,黄兴中路63-65号,
,,
,,
佰能商城,金泰路199号世纪金源购物中心B1层佰能数码城,
,,
粉巢,吉祥街安妮公主意大利冰淇淋旁,
平和堂百货,岳麓大道57号奥克斯广场1层,
平和堂,银双路大官米线旁,
,,
,,
,,
平和堂,银双路大官米线旁,
,,
,,
伊势丹,天府大道北段1199号,
,,
连卡佛LaneCrawford,红星路步行街3段1号ifs国际金融中心3，4层,
,,
,,
,,
英利国际金融中心,民权路26号英利·大融城1层底商,
,,
印象汇,小龙坎新街029号华宇广场1号,
万达百货,南城大道8号万达广场1-4层,
时代天街C馆,时代大道龙湖时代天街内,
远东百货,解放碑邹容路68号,
,,
天琴座,北部新区黄山大道中段6号5、6区N37天琴座,
,,
万达百货,东纵路208号,
,,
,,
白云绿地中心,云城西路与齐心路交叉口,
,,
友谊商店,珠江西路5号,
广百百货,机场路1399号,
Hi百货,天河路228号正佳广场4层,
友谊商店,天河路228号正佳广场1层到4层,
花城汇中区,花城大道89号高德置地广场·秋,
,,
时尚天河店,天河路299号时尚天河商业广场B2层,
天河城尚品荟,北京路粤海仰忠汇B1楼,
,,
广百百货,龙珠路41号广百新一城,
友谊商店,天河路228号正佳广场1层到4层,
,,
中华百货,中山三路33号中华广场,
摩登百货,天河路611号,
万达百货,增城大道69号万达百货3楼办公区,
中天购物城,天河北路233号,
捷登都会,中山五路70号,
广百黄金珠宝大厦,中山四路395号广百黄金珠宝大厦1层,
华苑商业广场,花地大道北25-6号,
白云绿地中心,云城西路与齐心路交叉口,
,,
,,
,,
万达百货,云城东路501号万达广场B1-4层,
,,
,,
合生广场-北区,广州大道南249号,
广州友谊OUTLETS购物中心,天河北路28号时代广场1-5层,
,,
,,
,,
,,
,,
柏德来商业城,康王北路903号柏德来商业城香港街2区2233铺,
,,
,,
,,
百盛,三市街6号柏联广场1层,
万达百货,前兴路688号,
王府井百货,沿河路7号,
中央商业广场,滇池路569号,
,,
中豪.螺蛳湾国际商贸城,新昆洛路宏仁片区、彩云北路5151号,
新螺狮湾国际商贸城,彩云北路5151号,
,,
百盛,人民中路17号,
,,
,,
,,
,,
,,
,,
万达百货,竹山路68号,
House of Fraser 东方福来德,中山南路2号,
,,
,,
银泰百货,天童南路1008号环球银泰城1层底商,
,,
,,
,,
万达百货,江北大道188号宁波江北万达广场内,
,,
,,
,,
,,
百盛,香港东路195号乙金狮广场1层百盛,
万达百货,黑龙江中路1138-8号,
万达百货,延吉路118号,
,,
纪念日百货,李村街道向阳路94号步行街,
,,
上海老佛爷百货,浦东南路899号,
,,
BFC南区商场,中山东二路600号,
,,
,,
世界广场,浦东南路855号,
城开YOYO,上海徐家汇天钥桥路123号,
,,
,,
,,
,,
,,
梅龙镇伊势丹百货,南京西路1038号,
,,
大悦城,小东路9号,
中兴方城,太原北街86号中兴商业大厦8楼,
tanni卓展购物中心店,北京街7-1号卓展购物中心4层,
西都商业城,新华街小六路30号,
,,
,,
地一大道,长江街15号碧塘公园,
,,
,,
,,
,,
,,
曼哈数码广场,华强北路2022号曼哈数码广场1-5楼,
,,
新洲,新洲路中城天邑裙楼吉之岛商场T-111商铺,
天虹,文心五路文心五路30-2号保利文化广场C区1-4层,
石厦新港商城,石厦北路二街89号,
天虹,白石路168号京基百纳广场B1-2楼,
乐淘里商场,华强北路1019号,
,,
,,
,,
九龙城购物广场,东门中路2013号,
,,
,,
华南城港台馆,平新北路华南城1号交易广场海峡两岸商品交易物流中心,
世贸百货,龙翔大道世贸中心C区二层,
,,
,,
,,
,,
叮梆小镇,深南东路3020号ddm百货广场1层,
华联街,深南中路2006-2号,
,,
中威商业广场,人民北路1008-10号中威大厦,
,,
绿宝广场购物中心,邓尉路与长江路交口东北角,
,,
Ｄ26潮玩星球,天津天河城购物中心2F,
于家堡堡子里21号文化创意社区,于家堡站环球购商业街,
,,
,,
,,
,,
,,
万达百货,津滨大道53号河东万达广场3层,
,,
武汉国际广场,汉口区解放大道557号,
,,
,,
,,
,,
,,
,,
,,
,,
中心百货大楼,江汉路129号中百商厦,
武广,解放大道668号国广7楼,
,,
,,
,,
,,
万达百货,雁塔北路8号万达广场1-4层,
CityOn熙地港（西安）购物中心,未央路170号,
,,
百盛,金花南路59号,
,,
丹尼斯七天地缤纷娱乐,众意路与商务外环路交叉口东南100米,
,,
汇美尚城,黄河路经八路西南建文新世界1-2层,
,,
,,
,,
